account,date,dunk_line,punch,target,source,views,video_id
democrats,20251101,We've got an HHS Secretary who opposes proven science and promotes quack medicine.,up (powerful figure),Trump's HHS Secretary,speech,1100000,7567890220427840782
democrats,20251101,it's like every day is Halloween. Except it's all tricks and no treats.,up (powerful figure),Donald Trump,speech,1100000,7567890220427840782
democrats,20220307,What?? The DNC isn’t on TikTok…,lateral (institution),people who assumed the DNC would not be on TikTok,overlay,232100,7072431331778596138
democrats,20220307,YES I AM,lateral (institution),people who assumed the DNC would not be on TikTok,overlay,232100,7072431331778596138
democrats,20220307,"I'm the man, I'm the man, I'm the man Yes I am, yes I am, yes I am",lateral (institution),people who assumed the DNC would not be on TikTok,sound,232100,7072431331778596138
democrats,20220310,Settle down? Are you kidding?,up (powerful figure),Sexist critics,sound,151500,7073528718768999722
democrats,20220310,I'm at the top of my game!,up (powerful figure),Doubters and critics,sound,151500,7073528718768999722
democrats,20220310,I'm right up there with the big dogs.,up (powerful figure),The established male-dominated power structure,sound,151500,7073528718768999722
democrats,20220310,Leave politics to the men?,up (powerful figure),People with sexist views about women in politics,overlay,151500,7073528718768999722
democrats,20220310,Leave the saving of the world for the men?,up (powerful figure),People with sexist views about women's capabilities,sound,151500,7073528718768999722
democrats,20220310,I don't think so... I don't think so...,up (powerful figure),People with sexist views about women in politics,sound,151500,7073528718768999722
democrats,20220315,"I notice every new bridge or highway, you have a Republican who voted against the infrastructure standing there taking credit.",lateral (institution),Republicans,speech,9346,7075318697258257707
democrats,20220315,"As my mother would say, God love them.",lateral (institution),Republicans,speech,9346,7075318697258257707
democrats,20220411,you know it’s not the ✨same✨,up (powerful figure),Donald Trump,overlay,57200,7085475660306599210
democrats,20220503,extremist Republicans,lateral (institution),Republican Party,caption,83900,7093595058842225963
democrats,20220503,conservative justices on the court,lateral (institution),Supreme Court of the United States,caption,83900,7093595058842225963
democrats,20220503,"They have been out there plotting, carefully cultivating these Supreme Court justices",lateral (institution),Republican Party,speech,83900,7093595058842225963
democrats,20220503,"extremists, we've heard enough from the extremists and we're tired of it.",lateral (institution),Republican Party,speech,83900,7093595058842225963
democrats,20220505,HEY I JUST MET YOU AND YOU SEEM CRAZY. A CLUMP OF CELLS IS NOT A BABY,up (powerful figure),anti-abortion advocates,overlay,160400,7094037572070198574
democrats,20220505,I like beer. - Kavanaugh,up (powerful figure),Brett Kavanaugh,overlay,160400,7094037572070198574
democrats,20220607,Republicans have no plan to fight inflation,lateral (institution),Republicans,caption,126900,7106332031075781931
democrats,20220607,🚩Republicans have a plan that could raise taxes on Americans🚩,lateral (institution),Republicans,overlay,126900,7106332031075781931
democrats,20220611,The ultra-MAGA agenda is not it.,up (powerful figure),The ultra-MAGA agenda,caption,150600,7108074054157897003
democrats,20220611,Republican leadership letting MAGA extremists control their party,up (powerful figure),Republican leadership,overlay,150600,7108074054157897003
democrats,20220611,Never!,lateral (institution),Republican Party,sound,150600,7108074054157897003
democrats,20220611,Let's make poor decisions!,lateral (institution),Republican Party,sound,150600,7108074054157897003
democrats,20220623,ultra-MAGA agenda,lateral (institution),Republican Party,caption,138200,7112219597079711022
democrats,20220623,WE'RE WALKING THE OTHER WAY,up (powerful figure),"Lauren Boebert, Lindsey Graham, Marjorie Taylor Greene",overlay,138200,7112219597079711022
democrats,20220623,See that toxic person?,up (powerful figure),"Lauren Boebert, Lindsey Graham, Marjorie Taylor Greene",sound,138200,7112219597079711022
democrats,20220625,a small minority,lateral (institution),The Republican party,speech,77400,7112968794615729450
democrats,20220625,extremist judges,up (powerful figure),Republican-appointed judges,speech,77400,7112968794615729450
democrats,20220625,"Judges who promised to follow the law, but wink, wink, nod, nod, were cleared",up (powerful figure),Republican-appointed judges,speech,77400,7112968794615729450
democrats,20220701,Can you think of any laws that give government the power to make decisions about the male body?,up (powerful figure),Brian Buescher,speech,10300,7115273344462753066
democrats,20220701,End The WAR on WOMEN,up (powerful figure),Opponents of abortion rights,overlay,10300,7115273344462753066
democrats,20220707,There's no way Georgia Democrats win two Senate seats,up (powerful figure),Unnamed Skeptics,overlay,78100,7117453953477954859
democrats,20220707,*flips Senate*,up (powerful figure),Unnamed Skeptics,overlay,78100,7117453953477954859
democrats,20220720,"Yet again, Republicans are showing how out of step they are from the American people.",lateral (institution),Republican Party,speech,160600,7122252363917741355
democrats,20220720,Ultra-migrant Republicans are too extreme to hold power.,lateral (institution),Republican Party,speech,160600,7122252363917741355
democrats,20220725,Did Josh Hawley really say that?,up (powerful figure),Josh Hawley,caption,51300,7124415818389245230
democrats,20220725,And I am not backing down.,up (powerful figure),Josh Hawley,overlay,51300,7124415818389245230
democrats,20220725,I'm not going to apologize.,up (powerful figure),Josh Hawley,overlay,51300,7124415818389245230
democrats,20220725,I'm not going to cower.,up (powerful figure),Josh Hawley,overlay,51300,7124415818389245230
democrats,20220725,I'm not going to run from you.,up (powerful figure),Josh Hawley,overlay,51300,7124415818389245230
democrats,20220726,The Watergate filing cabinet vibing 🥴✨,lateral (institution),Republican Party,overlay,292600,7124472556542790955
democrats,20220804,KBJ slays.,own-side (gloat),Opponents/critics of Ketanji Brown Jackson,overlay,44300,7127840279779937582
democrats,20220805,Because it's gone down.,up (powerful figure),Peter Doocy,overlay,1700000,7128536439855369515
democrats,20220811,the head of the Republican Senate is talking about increasing costs for Medicare and Social Security and taxing poor and middle-class Americans.,lateral (institution),the head of the Republican Senate,speech,187700,7130435416695737646
democrats,20220811,"even Republicans have to admit this privately, and they are.",lateral (institution),Republicans,speech,187700,7130435416695737646
democrats,20220818,He did that.,lateral (institution),Republican Party,caption,36800,7133369386936716587
democrats,20220818,I DID THAT!,lateral (institution),Republican Party,overlay,36800,7133369386936716587
democrats,20220818,Bing bong bong bong bong,lateral (institution),Republican Party,sound,36800,7133369386936716587
democrats,20220826,"Is it fair to people who, in fact, do not own multi-billion dollar businesses if you want these guys to get involved with that sense?",up (powerful figure),People who oppose student loan forgiveness while supporting tax breaks for corporations,speech,11700,7136190066682055979
democrats,20220826,Magga Republicans don't have a clue about the power of women.,lateral (institution),MAGA Republicans,speech,206000,7136296150734277931
democrats,20220826,They are about to find out.,lateral (institution),MAGA Republicans,speech,206000,7136296150734277931
democrats,20220830,"New Jersey resident, unsure of how many properties he owns 😟",up (powerful figure),Mehmet Oz,overlay,131300,7137461338611387694
democrats,20220831,Don't tell me you support law enforcement if you won't condemn what happened on the 6th.,lateral (institution),my MAGA Republican friends in Congress,speech,19500,7138149620533742891
democrats,20220831,"For God's sake, whose side are you on?",lateral (institution),my MAGA Republican friends in Congress,speech,19500,7138149620533742891
democrats,20220831,you're on the side of a mob or the side of the police.,lateral (institution),my MAGA Republican friends in Congress,speech,19500,7138149620533742891
democrats,20220831,You can't be pro-law enforcement and pro-insurrection.,lateral (institution),my MAGA Republican friends in Congress,speech,19500,7138149620533742891
democrats,20220831,Whose side are you on?,lateral (institution),MAGA Republicans,caption,19500,7138149620533742891
democrats,20220901,What are Republicans for?,lateral (institution),Republicans,caption,89600,7138225594503843114
democrats,20220901,When we ask Republicans to side with the American people over special interests,lateral (institution),Republicans,overlay,89600,7138225594503843114
democrats,20220901,Oh! Horrible!,lateral (institution),Republicans,sound,89600,7138225594503843114
democrats,20220903,defeating Palin,up (powerful figure),Sarah Palin,overlay,31700,7138985322838281515
democrats,20220903,this huge W,up (powerful figure),Sarah Palin,overlay,31700,7138985322838281515
democrats,20220911,This is the Republican candidate for PA’s Senate seat?,up (powerful figure),Mehmet Oz,overlay,22000,7142164871130385706
democrats,20220911,This is your man. Yes. Look at the screen.,up (powerful figure),Mehmet Oz,sound,22000,7142164871130385706
democrats,20220911,No.,up (powerful figure),Mehmet Oz,caption,22000,7142164871130385706
democrats,20220914,extremist so-called leaders,lateral (institution),Republicans,speech,8558,7143049086508256555
democrats,20220926,Senator Rubio after a long day of voting against lowering costs for Americans,up (powerful figure),Marco Rubio,overlay,9545,7147713314024574254
democrats,20220926,"Oh, Lord, have mercy. Mm-mm-mm. They drained me.",up (powerful figure),Marco Rubio,sound,9545,7147713314024574254
democrats,20221002,Governor Kemp could never😏,up (powerful figure),Brian Kemp,overlay,10100,7149939392398789931
democrats,20221004,It won’t be the same as it was when Texans elect @Beto O’Rourke.,up (powerful figure),the current Texas state government,caption,15000,7150458795796483374
democrats,20221005,opposes marriage equality legislation 😩,up (powerful figure),JD Vance,overlay,11100,7150838859817962794
democrats,20221005,Absolutely not.,up (powerful figure),JD Vance,sound,11100,7150838859817962794
democrats,20221007,pushes anti-trans agenda 🫣,up (powerful figure),Greg Abbott,overlay,14500,7151592121865211178
democrats,20221007,Don't mess with Trans kids.,up (powerful figure),Greg Abbott,overlay,14500,7151592121865211178
democrats,20221007,no comment 🤐🙄,up (powerful figure),Greg Abbott,overlay,14500,7151592121865211178
democrats,20221014,Val Demings on her way to unseat FL Senator Rubio 😏,up (powerful figure),Marco Rubio,overlay,30200,7154365709277990186
democrats,20221014,She does what she wants and she looks cool doing it.,up (powerful figure),Marco Rubio,sound,30200,7154365709277990186
democrats,20221018,Brian Kemp doesn't 🤬🤚,up (powerful figure),Brian Kemp,overlay,58200,7155649993716534570
democrats,20221027,"The decision should be up to: women, doctors, and WHO?!",up (powerful figure),Mehmet Oz,caption,21300,7159194232924818730
democrats,20221027,"I want women, doctors, local political leaders",up (powerful figure),Mehmet Oz,speech,21300,7159194232924818730
democrats,20221027,WHAT did he say ?!?,up (powerful figure),Mehmet Oz,overlay,21300,7159194232924818730
democrats,20221027,Local Political Leaders,up (powerful figure),Mehmet Oz,overlay,21300,7159194232924818730
democrats,20221027,LOCAL.,up (powerful figure),Mehmet Oz,overlay,21300,7159194232924818730
democrats,20221027,POLITICAL.,up (powerful figure),Mehmet Oz,overlay,21300,7159194232924818730
democrats,20221027,LEADERS.,up (powerful figure),Mehmet Oz,overlay,21300,7159194232924818730
democrats,20221028,See you at the polls on November 8th💅👑,lateral (institution),Republican Party,overlay,24300,7159358803454987562
democrats,20221028,"Karma's a relaxing thought, aren't you envious that for you it's not?",lateral (institution),Republican Party,sound,24300,7159358803454987562
democrats,20221028,abortion ban? 🤔,up (powerful figure),"Marco Rubio, JD Vance, and Ted Budd",overlay,49300,7159389191523142955
democrats,20221028,"You want me, no",up (powerful figure),"Marco Rubio, JD Vance, and Ted Budd",sound,49300,7159389191523142955
democrats,20221107,Reduce your expectations to zero.,lateral (institution),Republican Party,sound,32500,7163100078536707371
democrats,20221107,We don’t want to hear it from MAGA Republicans.,lateral (institution),MAGA Republicans,caption,1300000,7163117279339662635
democrats,20221107,"GOP condemns student loan relief, but received forgiveness on PPP loans",lateral (institution),GOP,overlay,1300000,7163117279339662635
democrats,20221107,"She and her husband got $180,000 in business loans forgiven from the PPP program.",up (powerful figure),Marjorie Taylor Greene,speech,1300000,7163117279339662635
democrats,20221107,"Guess how much he got in that program forgiven? $2,300,000.",up (powerful figure),Vern Buchanan,speech,1300000,7163117279339662635
democrats,20221107,slackers who don't deserve relief.,up (powerful figure),Ted Cruz,speech,1300000,7163117279339662635
democrats,20221107,Can't make this stuff up.,up (powerful figure),Marjorie Taylor Greene; Vern Buchanan; Ted Cruz,speech,1300000,7163117279339662635
democrats,20221107,Who in the hell do they think they are?,up (powerful figure),Marjorie Taylor Greene; Vern Buchanan; Ted Cruz,speech,1300000,7163117279339662635
democrats,20221108,I spent about 80% of my time talking about voting.,lateral (institution),Democrats,overlay,47700,7163768914197957930
democrats,20221108,"And the other 20% of the time, I was praying for someone else to bring it up so I could talk about it more.",lateral (institution),Democrats,overlay,47700,7163768914197957930
democrats,20221114,Senate MAJORITY Leader Chuck Schumer 😎,up (powerful figure),Mitch McConnell,caption,200700,7166005758247669038
democrats,20221114,"Here I am, once again I'm torn into pieces, can't deny it",up (powerful figure),Mitch McConnell,sound,200700,7166005758247669038
democrats,20221116,Trump talks. Biden delivers.,up (powerful figure),Donald Trump,caption,43500,7166416941559680299
democrats,20221116,TALKING,up (powerful figure),Donald Trump,overlay,43500,7166416941559680299
democrats,20221116,Who's better at infrastructure than Trump?,up (powerful figure),Donald Trump,speech,43500,7166416941559680299
democrats,20221122,Young people aren't brainwashed. We're angry.,up (powerful figure),Conservative commentators,overlay,70800,7168915781214899498
democrats,20221122,GOP WANTS TO RAISE VOTING AGE AFTER MIDTERM TURNOUT,lateral (institution),GOP,overlay,70800,7168915781214899498
democrats,20221126,There was no red wave... There was a record number of LGBTQ+ Democrats elected to office instead 😏🌈,lateral (institution),Republican Party,overlay,29100,7170393064245087534
democrats,20221209,Remember when 195 House Republicans voted against a bill to protect access to birth control?,lateral (institution),195 House Republicans,overlay,66100,7175230583860251946
democrats,20221209,We do.,lateral (institution),195 House Republicans,caption,66100,7175230583860251946
democrats,20221209,I remember it all too well,lateral (institution),195 House Republicans,sound,66100,7175230583860251946
democrats,20230104,Republicans can’t pick a speaker.,lateral (institution),Republicans,caption,24200,7184878776826744110
democrats,20230104,Republicans in Disarray,lateral (institution),Republicans,overlay,24200,7184878776826744110
democrats,20230104,not save the Republicans from their dysfunction.,lateral (institution),Republicans,speech,24200,7184878776826744110
democrats,20230105,Republicans are in disarray.,lateral (institution),Republican Party,caption,345700,7185289053875621163
democrats,20230105,Republicans can't pick a speaker...,lateral (institution),Republican Party,overlay,345700,7185289053875621163
democrats,20230106,"Who would vote against lowering health care costs, tackling climate change, and capping the price of insulin??",lateral (institution),Congressional Republicans,overlay,68000,7185586467647786282
democrats,20230106,Every. Single. Congressional Republican.,lateral (institution),Congressional Republicans,overlay,68000,7185586467647786282
democrats,20230109,"Every Republican in Congress voted against:

—Lowering prescription drug prices
—Lowering health care costs
—Lowering energy costs
—Creating good-paying jobs",lateral (institution),Republican Party,overlay,19700,7186674442314059051
democrats,20230109,Will I get over it? Mmm... No.,lateral (institution),Republican Party,sound,19700,7186674442314059051
democrats,20230110,Republicans in disarray.,lateral (institution),Republican Party,overlay,19900,7186836879818362154
democrats,20230110,Republicans: Can't pick a speaker.,lateral (institution),Republican Party,overlay,19900,7186836879818362154
democrats,20230110,plunging the House into chaos,lateral (institution),MAGA Republicans,overlay,19900,7186836879818362154
democrats,20230110,MAGA Republicans are in charge of Kevin McCarthy’s caucus.,lateral (institution),MAGA Republicans,caption,19900,7186836879818362154
democrats,20230111,Keeps you at night.,lateral (institution),Republican Party,caption,16200,7187533852963917099
democrats,20230111,every congressional Republican voted against... lower prescription drug prices 💊,lateral (institution),every congressional Republican,overlay,16200,7187533852963917099
democrats,20230111,every congressional Republican voted against... a fairer tax system ⚖️,lateral (institution),every congressional Republican,overlay,16200,7187533852963917099
democrats,20230111,every congressional Republican voted against... aggressive action on the climate crisis 🌍,lateral (institution),every congressional Republican,overlay,16200,7187533852963917099
democrats,20230111,every congressional Republican voted against... lower energy costs 💡,lateral (institution),every congressional Republican,overlay,16200,7187533852963917099
democrats,20230111,every congressional Republican voted against... lower health care costs 🏥,lateral (institution),every congressional Republican,overlay,16200,7187533852963917099
democrats,20230113,House Republicans’ first bill is to protect wealthy tax cheats.,lateral (institution),House Republicans,caption,28100,7187928321068567854
democrats,20230113,Republicans' first bill makes tax fraud easier for high earners,lateral (institution),Republicans,overlay,28100,7187928321068567854
democrats,20230113,The House GOP's first bill of the new Congress ya'll 🤡😭,lateral (institution),The House GOP,overlay,28100,7187928321068567854
democrats,20230113,Let the ultra-wealthy pay a smaller share in taxes than the middle class 💵💲,lateral (institution),The House GOP,overlay,28100,7187928321068567854
democrats,20230113,Add $144 billion to the deficit 💰💰💰,lateral (institution),The House GOP,overlay,28100,7187928321068567854
democrats,20230113,Help the ultra-wealthy cheat on their taxes 🤦‍♀️😭,lateral (institution),The House GOP,overlay,28100,7187928321068567854
democrats,20230118,Republicans had no problem enacting a $2 trillion tax cut that overwhelmingly benefitted the wealthiest Americans and biggest corporations.,lateral (institution),Republicans,overlay,33300,7190134728517864750
democrats,20230125,"After 14 failed votes, who handed over the reins of his caucus to the most extreme MAGA Republicans to become Speaker?",up (powerful figure),Kevin McCarthy,overlay,49700,7192399295440637230
democrats,20230125,It’s Kevin.,up (powerful figure),Kevin McCarthy,caption,49700,7192399295440637230
democrats,20230203,House Republicans' first bill of the new Congress was a bill to protect wealthy tax cheats at the expense of middle-class Americans.,lateral (institution),House Republicans,overlay,17800,7196007689812462891
democrats,20230203,House Republicans want to cut key programs like Social Security and Medicare.,lateral (institution),House Republicans,overlay,17800,7196007689812462891
democrats,20230203,This is Republican leadership.,up (powerful figure),Republican leadership,caption,17800,7196007689812462891
democrats,20230203,Side eye. Side eye!,lateral (institution),House Republicans,sound,17800,7196007689812462891
democrats,20230316,Kevin McCarthy and 220 House Republicans voted for a bill to make it easier for the ultra-wealthy to cheat on their taxes,lateral (institution),Kevin McCarthy and 220 House Republicans,overlay,40400,7210944014474890538
democrats,20230322,When the very first bill House Republicans passed this year would protect ultra-wealthy tax cheats,lateral (institution),House Republicans,overlay,8459,7213207972464397614
democrats,20230322,You're joking.,lateral (institution),House Republicans,sound,8459,7213207972464397614
democrats,20230323,"When Republicans say they want to reduce federal debt, but their plan...",lateral (institution),Republicans,caption,24600,7213530034546543914
democrats,20230323,Backing a plan that would add $3 trillion to the deficit over the next decade,lateral (institution),Republicans,overlay,24600,7213530034546543914
democrats,20230331,Supporting proposals to gut Americans’ health care,lateral (institution),MAGA Republicans,overlay,14800,7216520653053250858
democrats,20230331,You sure about that?,lateral (institution),MAGA Republicans,sound,14800,7216520653053250858
democrats,20230406,extreme abortion ban,up (powerful figure),Michigan's 1931 abortion ban,caption,41700,7218974338622557482
democrats,20230406,I am about to slay three zombies with one pen.,up (powerful figure),Michigan's 1931 abortion ban,overlay,41700,7218974338622557482
democrats,20230413,They have no idea.,lateral (institution),GOP,caption,11400,7221400948051152171
democrats,20230413,"The GOP has no idea what it wants on the budget, but it’s definitely not that",lateral (institution),GOP,overlay,11400,7221400948051152171
democrats,20230419,"Oh, brother, this guy stinks!",up (powerful figure),Ron DeSantis,sound,6638,7223775443105615147
democrats,20230420,Don’t turn the White House into a Wes Anderson film,lateral (institution),Critics of the administration,overlay,240700,7224206043285441835
democrats,20230501,DARK BRANDON!!!,up (powerful figure),Political opponents/critics,overlay,847700,7228296096861228330
democrats,20230501,"I'm going to be fine with your jokes, but I'm not sure about Dark Brandon.",up (powerful figure),Political opponents/critics,speech,847700,7228296096861228330
democrats,20230505,I know that a lot of Republicans — their dream is to cut Social Security and Medicare.,lateral (institution),Republicans,overlay,16900,7229510770877402410
democrats,20230505,"if that's your dream, I'm your nightmare.",lateral (institution),Republicans,overlay,16900,7229510770877402410
democrats,20230505,"I know that a lot of Republicans, their dream is to cut Social Security and Medicare.",lateral (institution),Republicans,speech,16900,7229510770877402410
democrats,20230506,So why did they vote against a bill to increase mental health care in schools? 🤔,lateral (institution),House Republicans,overlay,52200,7230141180007435566
democrats,20230509,"I don't — I don't know him,",up (powerful figure),Ron DeSantis,overlay,14600,7231227106099825962
democrats,20230509,"men lie, women lie, but numbers don't.",up (powerful figure),Ron DeSantis,overlay,14600,7231227106099825962
democrats,20230511,Trump pulling out his receipts (lies),up (powerful figure),Donald Trump,overlay,35300,7231966461906996523
democrats,20230511,It's whack-a-doodle time.,up (powerful figure),Donald Trump,sound,35300,7231966461906996523
democrats,20230518,"He’s the problem, it’s him.",up (powerful figure),Donald Trump,caption,31900,7234644813902056750
democrats,20230518,It's me.,up (powerful figure),Donald Trump,overlay,31900,7234644813902056750
democrats,20230518,Hi!,up (powerful figure),Donald Trump,overlay,31900,7234644813902056750
democrats,20230518,"I'm the problem, it's me",up (powerful figure),Donald Trump,sound,31900,7234644813902056750
democrats,20230518,I'm the one that got rid of Roe v. Wade.,up (powerful figure),Donald Trump,overlay,31900,7234644813902056750
democrats,20230520,tells us most of these men don't even understand how a woman's body works.,up (powerful figure),Men who support six-week abortion bans,speech,32500,7235313033763982634
democrats,20230525,Flop.,up (powerful figure),Ron DeSantis,caption,167700,7236906798060588334
democrats,20230525,Much-hyped Ron DeSantis presidential announcement a disaster on Twitter,up (powerful figure),Ron DeSantis,overlay,167700,7236906798060588334
democrats,20230525,And nothing can go wrong! Oh no! It all went wrong!,up (powerful figure),Ron DeSantis,sound,167700,7236906798060588334
democrats,20230527,I keep my side of the street clean You wouldn't know what I mean,lateral (institution),Republican Party,sound,16200,7237968292038610218
democrats,20230529,Dark Brandon slay.,up (powerful figure),political opponents,caption,12000,7238640651540204842
democrats,20230529,We are in the fight against malarkey all year long,up (powerful figure),political opponents,overlay,12000,7238640651540204842
democrats,20230602,aren’t you the guy who helped overturn Roe v. Wade?,up (powerful figure),Donald Trump,overlay,27900,7239890265333583150
democrats,20230602,Donald Trump's honest reaction:,up (powerful figure),Donald Trump,overlay,27900,7239890265333583150
democrats,20230626,Vanquishing Malarkey,up (powerful figure),malarkey,caption,12100,7249007662355172654
democrats,20230626,Trump talks.,up (powerful figure),Donald Trump,caption,12300,7249071654129700139
democrats,20230626,The last guy talked about infrastructure for years...,up (powerful figure),Donald Trump,overlay,12300,7249071654129700139
democrats,20230627,Republicans after receiving PPP loans but not supporting student debt relief,lateral (institution),Republican Party,overlay,19800,7249515938108820778
democrats,20230627,Switching Sides,lateral (institution),Republican Party,sound,19800,7249515938108820778
democrats,20230627,Be so for real,lateral (institution),Republican Party,caption,19800,7249515938108820778
democrats,20230706,This guy is the only modern president to leave office with fewer jobs than when he took office,up (powerful figure),Donald Trump,overlay,40100,7252808166528896298
democrats,20230710,No.,lateral (institution),Republican Party,sound,26900,7254000464369405227
democrats,20230710,I said no.,lateral (institution),Republican Party,sound,26900,7254000464369405227
democrats,20230710,I don't want to.,lateral (institution),Republican Party,sound,26900,7254000464369405227
democrats,20230716,Dark Brandon slay,other,,caption,2000000,7256474423836904746
democrats,20230716,What the hell is a blizzard?,up (powerful figure),Donald Trump,overlay,2000000,7256474423836904746
democrats,20230716,Dark Brandon serve 😎🍦,up (powerful figure),Donald Trump,overlay,2000000,7256474423836904746
democrats,20230718,Flop era,up (powerful figure),Ron DeSantis,caption,54600,7257229255333989675
democrats,20230718,can we skip to the good part? 🥺,up (powerful figure),Ron DeSantis,overlay,54600,7257229255333989675
democrats,20230718,DeSantis campaign sheds staff amid cash crunch,up (powerful figure),Ron DeSantis,overlay,54600,7257229255333989675
democrats,20230718,DeSantis' fundraising report shows signs of strength and real spots of trouble,up (powerful figure),Ron DeSantis,overlay,54600,7257229255333989675
democrats,20230718,Ron DeSantis fires roughly a dozen staffers in a campaign shake-up,up (powerful figure),Ron DeSantis,overlay,54600,7257229255333989675
democrats,20230718,‘A long slog’: Inside DeSantis’s early struggles and effort to rebound,up (powerful figure),Ron DeSantis,overlay,54600,7257229255333989675
democrats,20230719,We approve this message.,up (powerful figure),Marjorie Taylor Greene,caption,2300000,7257334413481102635
democrats,20230803,I like my coffee dark.,up (powerful figure),Political opponents / critics,speech,3100000,7263193088623988010
democrats,20230824,TAX CUTS FOR YACHT OWNERS?,lateral (institution),Republican Party,overlay,73800,7270913742928432426
democrats,20230824,"GOOD LUCK WITH THAT, CHAMP.",lateral (institution),Republican Party,overlay,73800,7270913742928432426
democrats,20230824,"GET REAL, JACK.",lateral (institution),Republican Party,overlay,73800,7270913742928432426
democrats,20230824,I'M BRINGING ROE BACK.,lateral (institution),Republican Party,overlay,73800,7270913742928432426
democrats,20230824,I THINK THESE REPUBLICANS ARE ABOUT TO FIND OUT.,lateral (institution),Republican Party,overlay,73800,7270913742928432426
democrats,20230824,MALARKEY'S COME TO TOWN.,lateral (institution),Republican Party,overlay,73800,7270913742928432426
democrats,20230824,MAGA Extremist,up (powerful figure),"Mike Pence, Ron DeSantis, Nikki Haley, Vivek Ramaswamy, and Tim Scott",overlay,134800,7271021704011320619
democrats,20230824,Choose your character!,up (powerful figure),The Republican primary candidates,sound,134800,7271021704011320619
democrats,20230826,raise your hand if you're a MAGA extremist 😒✋,up (powerful figure),Republican presidential candidates,overlay,52600,7271439132574911787
democrats,20230828,"Change your shirt, bruh, first of all I look good in this shirt, and second of all I look good in this shirt, and third of all I look good in this shirt, so tell me I don't look good in this",own-side (gloat),Critics of Joe Biden,sound,28200,7272428170048032046
democrats,20230831,Trump talked. Biden delivered.,up (powerful figure),Donald Trump,caption,46500,7273506927139687726
democrats,20230831,"After meeting with pharma lobbyists, Trump drops promise to negotiate drug prices",up (powerful figure),Donald Trump,overlay,46500,7273506927139687726
democrats,20230831,And admit you're in danger.,up (powerful figure),MAGA supporters,sound,17900,7273567279865023787
