term,target,register,in_trump_lexically,trump_weaponized,trump_verdict,trump_evidence,own_voice_uses,sample_dem_use,sample_post_id,note
weird,trump,mind,True,True,insult_at_person,Truly weird Senator Rand Paul of Kentucky reminds me of a spoiled brat without a properly functioning brain. He was terr,7,"If I had a nickel for every time a Republican candidate for speaker lost on the first vote this year, I'd have two nickels! Which isn't a lot... But it's weird that it happened twice, right?",7291072429173083422,
mess,trump,mind,True,False,random_or_topical,Another Democrat run city. They are a real mess! https://t.co/i8Iu4h0TXp,3,Don't mess with Trans kids.,7151592121865211178,
sad sack,trump,mind,True,True,insult_at_person,"With the number of tweets sad sack @ Rosie has done, she has totally lost control of herself-- hopefully not a breakdown",1,A SAD SACK,7574865362496343310,
chopped,trump,mind,False,False,never_tweeted,,4,commander in chopped,7541515468461329677,
unc,trump,mind,False,False,never_tweeted,,1,Princess Diaries but if Mia was chopped and unc,7551136660608617742,
mogged,trump,mind,False,False,never_tweeted,,6,mogged,7574485216027364621,
evil,trump,morals,True,True,insult_at_person,"...'collusion,' which doesn't exist. The Dems are using this terrible (and bad for our country) Witch Hunt for evil poli",6,this video is evil and disgusting. Do not ever involve me or my music to benefit your inhumane agenda.,7579307432036355383,
vile,trump,morals,True,True,insult_at_person,"The Democrat Congresswomen have been spewing some of the most vile, hateful, and disgusting things ever said by a politi",0,"(in walls, not tagged as a dunk line)",,
predator,trump,morals,True,False,quoting_others,"Biden made another big mistake. He totally mixed up two Crime Bills. Didn’t have a clue (as usual!). Also, he freely use",2,SEXUAL PREDATOR PRESIDENT,7526316811508403469,
rat,trump,morals,True,True,insult_at_person,"He @ johnedwards is bad, but @ andrewyoung is worse--not only is he a 'rat' but it turns out he stole much of the money ",0,"(in walls, not tagged as a dunk line)",,
traitor,trump,morals,True,True,insult_at_person,"Snowden is a traitor and a disgrace. Make no mistake, he is no hero. In fact he is a coward who should come back & face ",0,"(in walls, not tagged as a dunk line)",,
convicted felon,trump,morals,False,False,never_tweeted,,5,When you're a prosecutor debating a convicted felon,7413206043947240735,
wannabe dictator,trump,morals,False,False,never_tweeted,,1,"the old, crusty, convicted felon, wannabe dictator",7430556207368162602,
looter,trump,morals,False,False,never_tweeted,,0,"(in walls, not tagged as a dunk line)",,
loser,trump,morals,True,True,mixed,@ DannyZuker Danny--You're a total loser!,4,accepting that I'm a loser and Joe Biden beat me in 2020,7344104599151775018,
liar,trump,morals,True,True,insult_at_person,Ted Cruz has been playing an ad about me that is so ridiculously false - no basis in fact. Take ad down Ted. Biggest lia,1,liar.,7612737661467397389,
worst,trump,morals,True,True,mixed,Dopey Sugar @ Lord_Sugar‚Äîyou are the worst kind of loser‚Äîa total fool.,8,Heartbreaking: The Worst Person You Know Just Made A Great Point,7279911963981778219,
disgusting,trump,morals,True,True,insult_at_person,"But whenever she sees me, she kisses my ass. She's disgusting. @ BetteMidler",4,"""dogs,"" ""slobs,"" and ""disgusting animals.""",7418642560224169259,
chud,trump,morals,False,False,never_tweeted,,12,Fat chud rules,7649488257679412494,
fat chud,trump,morals,False,False,never_tweeted,,8,Fat chud rules,7649488257679412494,
true chud,trump,morals,False,False,never_tweeted,,2,fat chud rule #56 skip your son's wedding. true chuds hate their children,7649488257679412494,
fat little chud,trump,morals,False,False,never_tweeted,,1,i'm a fat little chud 😤,7652457956365176078,
horny,trump,morals,False,False,never_tweeted,,1,this guy is so fucking horny,7621951612210138382,
snowflake,trump,morals,False,False,never_tweeted,,1,SNOWFLAKE,7461329775181729066,
chicken,trump,morals,True,False,random_or_topical,"Come on @ DannyZuker, take the bet, show your friends and family (& your bosses on Modern Family) that you're not 'chick",1,Trump MELTS DOWN after finding out Wall Street calls him a chicken behind his back 😭,7509574990010928427,
flop,trump,morals,True,True,insult_at_person,@ antbaxter @ Salon @ antbaxter‚ÄîApprentice is a huge hit all over the world. Your cheap & boring documentary is a trem,3,Flop.,7236906798060588334,
spooky,trump,morals,False,False,never_tweeted,,1,SPOOKY!,7432064867139570990,
haunted,trump,morals,False,False,never_tweeted,,1,haunted.,7608269973282098445,
nightmare,trump,morals,True,False,mixed,This election is a choice between the AMERICAN DREAM and a SOCIALIST NIGHTMARE. Our opponents want to turn America into ,3,"if that's your dream, I'm your nightmare.",7229510770877402410,
sleep-paralysis demon,trump,morals,False,False,never_tweeted,,0,"(in walls, not tagged as a dunk line)",,
resident evil,trump,morals,False,False,never_tweeted,,1,RESIDENT EVIL,7644618325728808206,
loony bin,trump,morals,False,False,never_tweeted,,0,"(in walls, not tagged as a dunk line)",,
diabolical,trump,morals,False,False,never_tweeted,,0,"(in walls, not tagged as a dunk line)",,
epstein's bff,trump,morals,False,False,never_tweeted,,0,"(in walls, not tagged as a dunk line)",,
jealous,trump,morals,True,True,insult_at_person,"Lindsey Graham is all over T.V., much like failed 47% candidate Mitt Romney. These nasty, angry, jealous failures have Z",1,I think Trump is... jealous? 😘,7430876036960668970,
tacky,trump,morals,True,False,mixed,' @ RageFelix: @ GovernorPataki ... I LIVED IN NY WHEN 'TACKY PATAKI' WAS GOV... HE WAS A TOTAL DISASTER FOR THE PEOPLE ,2,pls trump's oval office is so tacky 😭☝️,7535993102323043597,
tacky gold,trump,morals,False,False,never_tweeted,,1,More of a tacky gold guy!,7578940789405863223,
pigging out,trump,morals,False,False,never_tweeted,,0,"(in walls, not tagged as a dunk line)",,
jobless,trump,morals,True,False,random_or_topical,Jobless claims at a 49 year low!,1,on today's episode of fat and jobless,7575618564195912973,
bootlicker,vance,subservience,False,False,never_tweeted,,3,competing for # 1 bootlicker,7602332185965645070,
ugly bootlicker,vance,subservience,False,False,never_tweeted,,1,but you’ll always be an ugly bootlicker ✨,7621282572986813709,
sellout,vance,subservience,True,True,mixed,"...Biden is a corrupt globalist sellout who never missed a chance to stab American workers in the back. If Biden wins, C",0,"(in walls, not tagged as a dunk line)",,
irrelevant,vance,subservience,True,True,insult_at_person,How does frumpy & little read @ nytimes editorial writer Gail Collins keep her job? She is totally irrelevant! @ nytimes,1,"sold out to trump, became completely irrelevant in a disastrous administration",7501803079667404074,
negative aura,vance,subservience,False,False,never_tweeted,,0,"(in walls, not tagged as a dunk line)",,
jd-chan,vance,subservience,False,False,never_tweeted,,1,jd-chan?,7501803079667404074,
poor,vance,subservience,True,True,insult_at_person,Poor @ JohnKasich doesn't have what it takes-,3,Republicans after passing the “we fucking hate poor people” bill,7522976168543358221,
creep,vance,subservience,True,True,insult_at_person,"Can you imagine Cryin’ Chuck Schumer saying out loud, for all to hear, that I am bluffing with respect to putting Tariff",1,do i creep you out?,7609062959163215117,
concerning,vance,subservience,True,False,random_or_topical,News conference at the White House concerning the Omnibus Spending Bill. 1:00 P.M.,1,concerning,7663125420115610894,
owned,vance,subservience,True,True,mixed,Hillary will never reform Wall Street. She is owned by Wall Street!,1,Tim Walz owned JD Vance,7401158036255034670,
